 frequency              vavdd_real             vavdd_imag             vout_real              vout_imag             
 7.762471166287006e-02  1.000000000000000e+00  0.000000000000000e+00  2.866129014490326e-01  1.716606229899854e-04 
 7.852356346100808e-02  1.000000000000000e+00  0.000000000000000e+00  2.866129024301642e-01  1.736483590785792e-04 
 7.943282347242907e-02  1.000000000000000e+00  0.000000000000000e+00  2.866129034341753e-01  1.756591120577328e-04 
 8.035261221856266e-02  1.000000000000000e+00  0.000000000000000e+00  2.866129044615775e-01  1.776931484501656e-04 
 8.128305161641088e-02  1.000000000000000e+00  0.000000000000000e+00  2.866129055129107e-01  1.797507378647973e-04 
 8.222426499470809e-02  1.000000000000000e+00  0.000000000000000e+00  2.866129065887151e-01  1.818321530324568e-04 
 8.317637711026808e-02  1.000000000000000e+00  0.000000000000000e+00  2.866129076896016e-01  1.839376698420184e-04 
 8.413951416452051e-02  1.000000000000000e+00  0.000000000000000e+00  2.866129088161387e-01  1.860675673769896e-04 
 8.511380382023866e-02  1.000000000000000e+00  0.000000000000000e+00  2.866129099688806e-01  1.882221279525267e-04 
 8.609937521846109e-02  1.000000000000000e+00  0.000000000000000e+00  2.866129111485094e-01  1.904016371527862e-04 
 8.709635899560911e-02  1.000000000000000e+00  0.000000000000000e+00  2.866129123555936e-01  1.926063838688624e-04 
 8.810488730080247e-02  1.000000000000000e+00  0.000000000000000e+00  2.866129135908011e-01  1.948366603370171e-04 
 8.912509381337563e-02  1.000000000000000e+00  0.000000000000000e+00  2.866129148547714e-01  1.970927621774241e-04 
 9.015711376059679e-02  1.000000000000000e+00  0.000000000000000e+00  2.866129161481865e-01  1.993749884333926e-04 
 9.120108393559209e-02  1.000000000000000e+00  0.000000000000000e+00  2.866129174717429e-01  2.016836416109388e-04 
 9.225714271547746e-02  1.000000000000000e+00  0.000000000000000e+00  2.866129188260942e-01  2.040190277189479e-04 
 9.332543007970026e-02  1.000000000000000e+00  0.000000000000000e+00  2.866129202120220e-01  2.063814563096925e-04 
 9.440608762859351e-02  1.000000000000000e+00  0.000000000000000e+00  2.866129216302369e-01  2.087712405198890e-04 
 9.549925860214478e-02  1.000000000000000e+00  0.000000000000000e+00  2.866129230814920e-01  2.111886971121475e-04 
 9.660508789898255e-02  1.000000000000000e+00  0.000000000000000e+00  2.866129245665263e-01  2.136341465170579e-04 
 9.772372209558230e-02  1.000000000000000e+00  0.000000000000000e+00  2.866129260861783e-01  2.161079128755570e-04 
 9.885530946569514e-02  1.000000000000000e+00  0.000000000000000e+00  2.866129276411868e-01  2.186103240819567e-04 
 1.000000000000013e-01  1.000000000000000e+00  0.000000000000000e+00  2.866129292324331e-01  2.211417118273833e-04 
 1.011579454259911e-01  1.000000000000000e+00  0.000000000000000e+00  2.866129308607412e-01  2.237024116437386e-04 
 1.023292992280767e-01  1.000000000000000e+00  0.000000000000000e+00  2.866129325270208e-01  2.262927629481930e-04 
 1.035142166679357e-01  1.000000000000000e+00  0.000000000000000e+00  2.866129342320818e-01  2.289131090881597e-04 
 1.047128548050913e-01  1.000000000000000e+00  0.000000000000000e+00  2.866129359768337e-01  2.315637973867938e-04 
 1.059253725177303e-01  1.000000000000000e+00  0.000000000000000e+00  2.866129377622570e-01  2.342451791890327e-04 
 1.071519305237620e-01  1.000000000000000e+00  0.000000000000000e+00  2.866129395892472e-01  2.369576099082075e-04 
 1.083926914021218e-01  1.000000000000000e+00  0.000000000000000e+00  2.866129414588130e-01  2.397014490730671e-04 
 1.096478196143199e-01  1.000000000000000e+00  0.000000000000000e+00  2.866129433719209e-01  2.424770603755267e-04 
 1.109174815262416e-01  1.000000000000000e+00  0.000000000000000e+00  2.866129453295798e-01  2.452848117188030e-04 
 1.122018454301978e-01  1.000000000000000e+00  0.000000000000000e+00  2.866129473328556e-01  2.481250752662123e-04 
 1.135010815672330e-01  1.000000000000000e+00  0.000000000000000e+00  2.866129493827856e-01  2.509982274904735e-04 
 1.148153621496898e-01  1.000000000000000e+00  0.000000000000000e+00  2.866129514804783e-01  2.539046492236581e-04 
 1.161448613840358e-01  1.000000000000000e+00  0.000000000000000e+00  2.866129536270137e-01  2.568447257076063e-04 
 1.174897554939545e-01  1.000000000000000e+00  0.000000000000000e+00  2.866129558235571e-01  2.598188466450267e-04 
 1.188502227437035e-01  1.000000000000000e+00  0.000000000000000e+00  2.866129580712453e-01  2.628274062511383e-04 
 1.202264434617429e-01  1.000000000000000e+00  0.000000000000000e+00  2.866129603713290e-01  2.658708033059207e-04 
 1.216186000646385e-01  1.000000000000000e+00  0.000000000000000e+00  2.866129627282135e-01  2.689494412057072e-04 
 1.230268770812399e-01  1.000000000000000e+00  0.000000000000000e+00  2.866129651366549e-01  2.720637280217024e-04 
 1.244514611771402e-01  1.000000000000000e+00  0.000000000000000e+00  2.866129676012292e-01  2.752140765465144e-04 
 1.258925411794185e-01  1.000000000000000e+00  0.000000000000000e+00  2.866129701166926e-01  2.784009043564885e-04 
 1.273503081016679e-01  1.000000000000000e+00  0.000000000000000e+00  2.866129726973980e-01  2.816246338554617e-04 
 1.288249551693152e-01  1.000000000000000e+00  0.000000000000000e+00  2.866129753382296e-01  2.848856923462088e-04 
 1.303166778452318e-01  1.000000000000000e+00  0.000000000000000e+00  2.866129780405657e-01  2.881845120767887e-04 
 1.318256738556426e-01  1.000000000000000e+00  0.000000000000000e+00  2.866129808058417e-01  2.915215303004404e-04 
 1.333521432163343e-01  1.000000000000000e+00  0.000000000000000e+00  2.866129836388041e-01  2.948971893321033e-04 
 1.348962882591673e-01  1.000000000000000e+00  0.000000000000000e+00  2.866129865344078e-01  2.983119366125762e-04 
 1.364583136588944e-01  1.000000000000000e+00  0.000000000000000e+00  2.866129894974421e-01  3.017662247595798e-04 
