 frequency              vinn_real              vinn_imag              outn_real              outn_imag             
 9.549925860214485e-04  1.000000000000000e+00  0.000000000000000e+00  4.796252432124438e-01  4.995846008043266e-01 
 9.660508789898261e-04  1.000000000000000e+00  0.000000000000000e+00  4.853745894001752e-01  4.997859544744010e-01 
 9.772372209558237e-04  1.000000000000000e+00  0.000000000000000e+00  4.911278090241575e-01  4.999211797891204e-01 
 9.885530946569521e-04  1.000000000000000e+00  0.000000000000000e+00  4.968833796460836e-01  4.999901872046225e-01 
 1.000000000000013e-03  1.000000000000000e+00  0.000000000000000e+00  5.026397763365887e-01  4.999929310029870e-01 
 1.011579454259912e-03  1.000000000000000e+00  0.000000000000000e+00  5.083954732906643e-01  4.999294093661138e-01 
 1.023292992280768e-03  1.000000000000000e+00  0.000000000000000e+00  5.141489454450439e-01  4.997996643786635e-01 
 1.035142166679358e-03  1.000000000000000e+00  0.000000000000000e+00  5.198986700939187e-01  4.996037819600451e-01 
 1.047128548050914e-03  1.000000000000000e+00  0.000000000000000e+00  5.256431284993480e-01  4.993418917256605e-01 
 1.059253725177303e-03  1.000000000000000e+00  0.000000000000000e+00  5.313808074927477e-01  4.990141667778210e-01 
 1.071519305237621e-03  1.000000000000000e+00  0.000000000000000e+00  5.371102010638770e-01  4.986208234269603e-01 
 1.083926914021219e-03  1.000000000000000e+00  0.000000000000000e+00  5.428298119337911e-01  4.981621208439833e-01 
 1.096478196143200e-03  1.000000000000000e+00  0.000000000000000e+00  5.485381531082894e-01  4.976383606447835e-01 
 1.109174815262417e-03  1.000000000000000e+00  0.000000000000000e+00  5.542337494084584e-01  4.970498864081682e-01 
 1.122018454301979e-03  1.000000000000000e+00  0.000000000000000e+00  5.599151389750079e-01  4.963970831286180e-01 
 1.135010815672331e-03  1.000000000000000e+00  0.000000000000000e+00  5.655808747431821e-01  4.956803766054964e-01 
 1.148153621496899e-03  1.000000000000000e+00  0.000000000000000e+00  5.712295258851533e-01  4.949002327704989e-01 
 1.161448613840359e-03  1.000000000000000e+00  0.000000000000000e+00  5.768596792169155e-01  4.940571569553062e-01 
 1.174897554939546e-03  1.000000000000000e+00  0.000000000000000e+00  5.824699405668380e-01  4.931516931015621e-01 
 1.188502227437035e-03  1.000000000000000e+00  0.000000000000000e+00  5.880589361031706e-01  4.921844229154494e-01 
 1.202264434617430e-03  1.000000000000000e+00  0.000000000000000e+00  5.936253136179512e-01  4.911559649692767e-01 
 1.216186000646385e-03  1.000000000000000e+00  0.000000000000000e+00  5.991677437649161e-01  4.900669737526201e-01 
 1.230268770812399e-03  1.000000000000000e+00  0.000000000000000e+00  6.046849212491875e-01  4.889181386756798e-01 
 1.244514611771403e-03  1.000000000000000e+00  0.000000000000000e+00  6.101755659666749e-01  4.877101830276195e-01 
 1.258925411794185e-03  1.000000000000000e+00  0.000000000000000e+00  6.156384240913106e-01  4.864438628927474e-01 
 1.273503081016680e-03  1.000000000000000e+00  0.000000000000000e+00  6.210722691084161e-01  4.851199660274871e-01 
 1.288249551693153e-03  1.000000000000000e+00  0.000000000000000e+00  6.264759027926816e-01  4.837393107011468e-01 
 1.303166778452318e-03  1.000000000000000e+00  0.000000000000000e+00  6.318481561294274e-01  4.823027445035579e-01 
 1.318256738556426e-03  1.000000000000000e+00  0.000000000000000e+00  6.371878901780030e-01  4.808111431226980e-01 
 1.333521432163344e-03  1.000000000000000e+00  0.000000000000000e+00  6.424939968763709e-01  4.792654090954440e-01 
 1.348962882591674e-03  1.000000000000000e+00  0.000000000000000e+00  6.477653997861048e-01  4.776664705346175e-01 
 1.364583136588945e-03  1.000000000000000e+00  0.000000000000000e+00  6.530010547772267e-01  4.760152798355021e-01 
 1.380384264602905e-03  1.000000000000000e+00  0.000000000000000e+00  6.581999506524853e-01  4.743128123649912e-01 
 1.396368361055959e-03  1.000000000000000e+00  0.000000000000000e+00  6.633611097108654e-01  4.725600651365275e-01 
 1.412537544622776e-03  1.000000000000000e+00  0.000000000000000e+00  6.684835882502919e-01  4.707580554739507e-01 
 1.428893958511125e-03  1.000000000000000e+00  0.000000000000000e+00  6.735664770096738e-01  4.689078196673435e-01 
 1.445439770745949e-03  1.000000000000000e+00  0.000000000000000e+00  6.786089015505938e-01  4.670104116239136e-01 
 1.462177174456741e-03  1.000000000000000e+00  0.000000000000000e+00  6.836100225791190e-01  4.650669015168874e-01 
 1.479108388168230e-03  1.000000000000000e+00  0.000000000000000e+00  6.885690362083674e-01  4.630783744353301e-01 
 1.496235656094457e-03  1.000000000000000e+00  0.000000000000000e+00  6.934851741626064e-01  4.610459290377248e-01 
 1.513561248436232e-03  1.000000000000000e+00  0.000000000000000e+00  6.983577039238164e-01  4.589706762120634e-01 
 1.531087461682054e-03  1.000000000000000e+00  0.000000000000000e+00  7.031859288217763e-01  4.568537377451064e-01 
 1.548816618912506e-03  1.000000000000000e+00  0.000000000000000e+00  7.079691880688656e-01  4.546962450033731e-01 
 1.566751070108174e-03  1.000000000000000e+00  0.000000000000000e+00  7.127068567408905e-01  4.524993376283190e-01 
 1.584893192461139e-03  1.000000000000000e+00  0.000000000000000e+00  7.173983457053580e-01  4.502641622480443e-01 
 1.603245390690067e-03  1.000000000000000e+00  0.000000000000000e+00  7.220431014987218e-01  4.479918712077677e-01 
